C00002600,1000,Silver Spring,MD,20902,03,2009
C00002600,250,Arlington,VA,22206,03,2009
C00002600,1000,Alexandria,VA,22309,03,2009
C00002600,1000,Bethesda,MD,20817,03,2009
C00002600,1000,Falls Church,VA,22044,03,2009
C00002600,1000,Signal Mtn,TN,37377,03,2009
C00002600,1000,Washington,DC,20016,03,2009
C00002600,1000,Washington,DC,20015,03,2009
C00002600,500,Washington,DC,20036,03,2009
C00002600,1000,Bethesda,MD,20817,03,2009
C00002600,1000,Arlington,VA,22207,03,2009
C00002600,1000,Batesville,TX,78829,03,2009
C00002600,1000,Washington,DC,20006,03,2009
C00002600,1000,Woodbridge,VA,22191,03,2009
C00002600,1000,Alexandria,VA,22304,03,2009
C00002600,2400,Bethesda,MD,20814,03,2009
C00002600,1000,Alexandria,VA,22304,03,2009
C00002600,1000,Washington,DC,20016,03,2009
C00002600,500,Alexandria,VA,22301,03,2009
C00002600,1000,Washington,DC,20016,03,2009
C00002600,1000,Washington,DC,20009,03,2009
C00002600,1000,Annandale,VA,22003,03,2009
C00002600,1000,Mc Lean,VA,22101,03,2009
C00002600,1000,Potomac,MD,20854,03,2009
C00002600,1000,Bloomfield Hills,MI,48304,03,2009
C00002600,1000,Grosse Ile,MI,48138,03,2009
C00002600,1000,Arlington,VA,22207,03,2009
C00002600,1000,Laurel,MD,20707,03,2009
C00002600,1000,Arlington,VA,22209,03,2009
C00002600,1000,Alexandria,VA,22305,03,2009
C00002600,2000,Washington,DC,20005,01,2009
C00002600,1000,Arlington,VA,22207,03,2009
C00002600,1000,Arlington,VA,22206,04,2009
C00002600,1000,Alexandria,VA,22301,06,2009
C00002600,1000,Leesburg,VA,20176,04,2009
C00002600,1000,Washington,DC,20015,09,2009
C00002600,2300,Bethesda,MD,20814,09,2009
C00002600,1000,Washington,DC,20001,07,2009
C00002600,1000,Alexandria,VA,22309,09,2009
C00002600,400,Washington,DC,20016,09,2009
C00002600,250,Arlington,VA,22206,09,2009
C00002600,600,Washington,DC,20016,09,2009
C00002600,1000,Plymouth,MI,48170,09,2009
C00002600,1000,Arlington,VA,22207,09,2009
C00002600,500,Washington,DC,20036,07,2009
C00002600,1000,Annandale,VA,22003,09,2009
C00002600,1000,Washington,DC,20009,07,2009
C00002600,500,Mc Lean,VA,22101,09,2009
C00002600,500,Washington,DC,20036,09,2009
C00002600,400,Alexandria,VA,22304,09,2009
C00002600,1000,McLean,VA,22101,09,2009
C00002600,1000,Woodbridge,VA,22191,09,2009
C00002600,600,Alexandria,VA,22304,09,2009
C00002600,500,Fulton,MD,20759,07,2009
C00002600,1000,Washington,DC,20016,09,2009
C00002600,1000,Alexandria,VA,22304,07,2009
C00002600,1000,Gaithersburg,MD,20878,09,2009
C00002600,350,Washington,DC,20016,09,2009
C00002600,500,Great Falls,VA,22066,09,2009
C00002600,1000,Alexandria,VA,22302,07,2009
C00002600,1000,Arlington,VA,22207,07,2009
C00002600,1000,Bethesda,MD,20817,08,2009
C00002600,600,Washington,DC,20007,09,2009
C00002600,1000,Arlington,VA,22207,09,2009
C00002600,1000,Chicago,IL,60611,09,2009
C00002600,1000,Washington,DC,20016,07,2009
C00002600,1000,Arlington,VA,22206,08,2009
C00002600,1000,Alexandria,VA,22305,09,2009
C00002600,1000,Grosse Ile,MI,48138,09,2009
C00002600,500,Alexandria,VA,22301,12,2009
C00002600,500,Qunicy,IL,62306,11,2009
C00002600,1000,Alexandria,VA,22304,03,2010
C00002600,500,Arlington,VA,22202,03,2010
C00002600,2400,Washington,DC,20007,03,2010
C00002600,1000,Mc Lean,VA,22101,03,2010
C00002600,1000,Bethesda,MD,20814,03,2010
C00002600,500,Arlington,VA,22207,03,2010
C00002600,1000,Chestertown,MD,21620,03,2010
C00002600,500,Great Falls,VA,22066,03,2010
C00002600,1000,Arlington,VA,22207,03,2010
C00002600,600,Arlington,VA,22207,03,2010
C00002600,400,Annandale,VA,22003,03,2010
C00002600,1000,Falls Church,VA,22044,03,2010
C00002600,1000,Falls Church,VA,22044,03,2010
C00002600,500,Washington,DC,20818,03,2010
C00002600,1000,Washington,DC,20007,03,2010
C00002600,600,Annandale,VA,22003,03,2010
C00002600,400,Woodbridge,VA,22191,03,2010
C00002600,400,Grosse Ile,MI,48138,03,2010
C00002600,400,Arlington,VA,22206,03,2010
C00002600,400,Washington,DC,20009,03,2010
